hanzi,pinyin,radical,english_consensus,zipf_cn,zipf_en,concreteness_en
一,yi1,1,one,4.110450144943433,,
七,qi1,1,seven,1.9415207808017416,,
万,wan4,1,Wan (surname),2.5926538567718764,,
丈,zhang4,1,ten feet,2.12441831289638,,
三,san1,1,three,2.748915667175535,,
上,shang4,1,on,3.7031140975514343,,
下,xia4,1,under,3.515665186563095,,
与,yu3,1,take part in,2.566464054749225,,
丐,gai4,1,beg for alms,0.4532245834423408,,
丑,chou3,1,shameful,1.7989004216622688,,
专,zhuan1,1,concentrated,2.2165399633700296,,
且,qie3,1,further,2.7233690757336007,,
丕,pi1,1,grand,-0.8255290175104881,,
世,shi4,1,life,2.6631425433487297,,
丘,qiu1,1,Confucius,1.034380901808591,,
丙,bing3,1,the third of the ten heavenly stems,0.623839168636848,,
业,ye4,1,business,2.47326170058453,,
丛,cong2,1,cluster,1.2009458780211335,,
东,dong1,1,east,2.973190667674518,,
丝,si1,1,silk,2.155318085679103,,
丞,cheng2,1,deputy,-1.0685670661967823,,
丢,diu1,1,to lose,2.117894829697728,,
两,liang3,1,both,2.9311288212140565,,
丧,sang4,1,lose (by death),1.637723891061981,,
丽,li4,1,beautiful,2.370923524192901,,
儿,er2,10,non-syllabic dimi. suff.,3.3522217941556067,,
允,yun3,10,just,1.7913214376790167,,
兄,xiong1,10,elder brother,2.4869203680530627,,
充,chong1,10,fill,1.9986898230413672,,
兆,zhao4,10,omen,1.1854973867175551,,
先,xian1,10,early,3.182176096854292,,
光,guang1,10,light,2.5670674511393115,,
克,ke4,10,subdue,3.059047890479952,,
免,mian3,10,to exempt,2.1559012488159066,,
兑,dui4,10,to cash,0.9170839074941664,,
兔,tu4,10,rabbit,1.49133955883933,,
党,dang3,10,party,1.6271334535743889,,
兜,dou1,10,pocket,1.2552005170999974,,
兢,jing1,10,to be fearful,0.2431867948589717,,
生,sheng1,100,to be born,3.540827222689176,,
甥,sheng1,100,nephew,0.5870515173444395,,
用,yong4,101,to use,3.228640653157042,,
甩,shuai3,101,fling,1.5646488191623074,,
甫,fu3,101,just,0.5546822242011179,,
甭,beng2,101,need not,0.3587567201604645,,
由,you2,102,follow,2.526184485137932,,
电,dian4,102,electric,3.109531776639193,,
